player,club,age,pos,pos_group,min,market_value,goals_per90,xg_90,xag_90,output_index_v0,value_index_mv,value_index_mv_log
Boubacar Kamara,Aston Villa,23.0,MF,MID,1652.0,38000000.0,0.0,0.01,0.07,0.006137213063023148,0.02907087154177077,0.006684136871857318
Boubacar Traoré,Wolverhampton,21.0,MF,MID,819.0,6000000.0,0.0,0.03,0.04,0.005010738291186765,0.15031763920642674,0.0061026904993196195
Brandon Aguilera,Nottingham Forest,20.0,FW,ATT,5.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0
Brennan Johnson,Nottingham Forest,22.0,"FW,MF",ATT,237.0,48000000.0,0.0,0.12,0.08,0.013736646859861092,0.051512232553607026,0.014763192257795672
Brennan Johnson,Nottingham Forest,22.0,"FW,MF",ATT,237.0,48000000.0,0.0,0.12,0.08,0.013736646859861092,0.051512232553607026,0.014763192257795672
Brennan Johnson,Tottenham Hotspur,22.0,FW,ATT,2085.0,48000000.0,0.21551724137931036,0.44,0.35,0.09362777555154352,0.3511028416826319,0.10062461860151187
Brennan Johnson,Tottenham Hotspur,22.0,FW,ATT,2085.0,48000000.0,0.21551724137931036,0.44,0.35,0.09362777555154352,0.3511028416826319,0.10062461860151187
Bruno Fernandes,Manchester United,28.0,"MF,FW",ATT,3118.0,70000000.0,0.2890173410404624,0.29,0.34,0.09678157950342922,0.248866278781244,0.10184161716187672
Bruno Guimarães,Newcastle United,25.0,MF,MID,3263.0,85000000.0,0.1928374655647383,0.13,0.18,0.056949468574985077,0.12059861924406882,0.05928970293009459
Bryan Gil,Tottenham Hotspur,22.0,"FW,MF",ATT,209.0,14000000.0,0.0,0.32,0.09,0.026908836072930382,0.3459663013709444,0.031085297655294573
Bryan Mbeumo,Brentford,23.0,FW,ATT,1960.0,40000000.0,0.4128440366972477,0.45,0.21,0.1187297577072622,0.5342815054159056,0.12893155802893738
Bukayo Saka,Arsenal,21.0,FW,ATT,2919.0,140000000.0,0.4938271604938272,0.48,0.32,0.1438354762927777,0.18493108889359988,0.14576248300370118
Callum Hudson-Odoi,Nottingham Forest,22.0,"FW,MF",ATT,1854.0,18000000.0,0.3883495145631068,0.13,0.14,0.08898848422817156,0.8898759435222803,0.10125372252195916
Callum Wilson,Newcastle United,31.0,FW,ATT,991.0,13000000.0,0.8181818181818182,0.8,0.05,0.2007497723542061,2.7795737461909837,0.23295689376701048
Calum Chambers,Aston Villa,28.0,"MF,DF",MID,152.0,4000000.0,0.0,0.0,0.06,0.0047297297286644745,0.21282826051817802,0.005914087176707182
Calvin Bassey,Fulham,23.0,DF,DEF,2303.0,16000000.0,0.0390625,0.01,0.0,0.007650445043435428,0.08606653849009055,0.008766710740959817
Cameron Archer,Aston Villa,22.0,MF,MID,6.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Archer,Aston Villa,22.0,MF,MID,6.0,13000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameron Archer,Sheffield United,22.0,"FW,MF",ATT,1832.0,13000000.0,0.19607843137254904,0.27,0.14,0.06304841991518566,0.8729660346805521,0.07316354030252548
Cameron Archer,Sheffield United,22.0,"FW,MF",ATT,1832.0,13000000.0,0.19607843137254904,0.27,0.14,0.06304841991518566,0.8729660346805521,0.07316354030252548
Caoimhín Kelleher,Liverpool,24.0,GK,GK,900.0,20000000.0,0.0,0.0,0.0,0.0,0.0,0.0
Carlos Baleba,Brighton,19.0,MF,MID,1325.0,22000000.0,0.0,0.06,0.02,0.005291746853709055,0.04329575638324913,0.005949638829867205
Carlos Vinícius,Fulham,28.0,FW,ATT,315.0,4000000.0,0.5714285714285714,0.46,0.23,0.1494707455699518,6.7258808860079595,0.1868992670576385
Carlton Morris,Luton Town,27.0,"FW,MF",ATT,2862.0,13000000.0,0.34591194968553457,0.36,0.09,0.09164976717641266,1.2689792058074796,0.10635352073134978
Carney Chukwuemeka,Chelsea,19.0,"MF,FW",ATT,227.0,15000000.0,0.4,0.06,0.13,0.08596291799412727,1.0315426374178782,0.09889039433469654
Casemiro,Manchester United,31.0,"MF,DF",MID,1982.0,20000000.0,0.045454545454545456,0.16,0.05,0.022030380359066022,0.19827163878684512,0.024909716471304848
Cauley Woodrow,Luton Town,28.0,"FW,MF",ATT,427.0,1000000.0,0.2127659574468085,0.3,0.25,0.07658093091531284,13.782086789134267,0.10536592300570057
