player,club,age,min,market_value,price_tier,goals_per90,xg_90,xag_90,output_index_v0,value_index_mv,value_index_mv_log
Saïd Benrahma,West Ham United,27.000000,620.000000,20000000.000000,MID,0.000000,0.270000,0.210000,0.033272,0.299448,0.037621
Sasa Kalajdzic,Wolverhampton,26.000000,166.000000,5000000.000000,LOW,1.111111,0.570000,0.520000,0.276285,9.945906,0.340471
Scott McTominay,Manchester United,26.000000,1901.000000,32000000.000000,MID,0.331754,0.270000,0.040000,0.079587,0.447675,0.087542
Sergio Gómez,Manchester City,22.000000,53.000000,10000000.000000,LOW,0.000000,0.410000,0.310000,0.049824,0.896815,0.058759
Simon Adingra,Brighton,21.000000,2222.000000,30000000.000000,MID,0.242915,0.170000,0.150000,0.066075,0.396450,0.072952
Solly March,Brighton,29.000000,554.000000,18000000.000000,MID,0.483871,0.320000,0.160000,0.119524,1.195224,0.135998
Son Heung-min,Tottenham Hotspur,31.000000,2934.000000,13000000.000000,MID,0.521472,0.370000,0.360000,0.145154,2.009792,0.168441
Tahith Chong,Luton Town,23.000000,1982.000000,6000000.000000,LOW,0.181818,0.120000,0.020000,0.041734,1.251988,0.050829
Taiwo Awoniyi,Nottingham Forest,25.000000,1042.000000,28000000.000000,MID,0.517241,0.410000,0.150000,0.130315,0.837732,0.144455
Tariq Lamptey,Brighton,22.000000,914.000000,12000000.000000,MID,0.000000,0.040000,0.120000,0.011936,0.179041,0.013919
Tawanda Chirewa,Wolverhampton,19.000000,145.000000,500000.000000,LOW,0.000000,0.100000,0.020000,0.007769,2.795663,0.011253
Thomas Cannon,Everton,20.000000,1.000000,13000000.000000,MID,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Timo Werner,Tottenham Hotspur,27.000000,809.000000,17000000.000000,MID,0.222222,0.410000,0.300000,0.089036,0.942720,0.101655
Valentín Barco,Brighton,19.000000,307.000000,13000000.000000,MID,0.000000,0.050000,0.070000,0.008614,0.119269,0.009996
William Osula,Sheffield United,19.000000,786.000000,3000000.000000,LOW,0.000000,0.190000,0.010000,0.012553,0.753134,0.015999
Willian,Fulham,34.000000,2053.000000,3000000.000000,LOW,0.175439,0.220000,0.170000,0.058602,3.515917,0.074690
Wilson Odobert,Burnley,18.000000,2098.000000,10000000.000000,LOW,0.128755,0.120000,0.140000,0.041642,0.749549,0.049110
Yoane Wissa,Brentford,26.000000,2493.000000,28000000.000000,MID,0.433213,0.380000,0.140000,0.112544,0.723491,0.124756
Youri Tielemans,Aston Villa,26.000000,1622.000000,25000000.000000,MID,0.111111,0.070000,0.140000,0.035370,0.254665,0.039469
Youssef Chermiti,Everton,19.000000,208.000000,9000000.000000,LOW,0.000000,0.310000,0.340000,0.045997,0.919919,0.054602
Zeki Amdouni,Burnley,22.000000,1953.000000,12000000.000000,MID,0.230415,0.270000,0.070000,0.063711,0.955650,0.074295
