player,club,age,min,market_value,price_tier,goals_per90,xg_90,xag_90,output_index_v0,value_index_mv,value_index_mv_log
David Brooks,Bournemouth,26.000000,282.000000,8000000.000000,LOW,0.322581,0.700000,0.330000,0.127422,2.866923,0.152381
David Datro Fofana,Burnley,20.000000,879.000000,12000000.000000,MID,0.408163,0.460000,0.190000,0.116930,1.753921,0.136356
Deivid Washington,Chelsea,18.000000,13.000000,9000000.000000,LOW,0.000000,3.230000,0.000000,0.200000,3.999920,0.237417
Dejan Kulusevski,Tottenham Hotspur,23.000000,2762.000000,55000000.000000,MID,0.260586,0.150000,0.250000,0.075901,0.248401,0.080950
Diogo Jota,Liverpool,26.000000,1145.000000,50000000.000000,MID,0.787402,0.420000,0.260000,0.188234,0.677640,0.201835
Divin Mubama,West Ham United,18.000000,80.000000,1000000.000000,LOW,0.000000,0.170000,0.000000,0.010526,1.894396,0.014483
Divock Origi,Nottingham Forest,28.000000,606.000000,5000000.000000,LOW,0.000000,0.210000,0.310000,0.037440,1.347793,0.046138
Dominic Calvert-Lewin,Everton,26.000000,2171.000000,22000000.000000,MID,0.290456,0.540000,0.130000,0.095966,0.785174,0.107897
Dominic Sadi,Bournemouth,19.000000,1.000000,100000.000000,LOW,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Dominic Solanke,Bournemouth,25.000000,3325.000000,40000000.000000,MID,0.514905,0.530000,0.080000,0.131807,0.593127,0.143132
Dwight McNeil,Everton,23.000000,2892.000000,22000000.000000,MID,0.093458,0.110000,0.270000,0.044917,0.367503,0.050502
Eberechi Eze,Crystal Palace,25.000000,2055.000000,55000000.000000,MID,0.482456,0.400000,0.230000,0.129741,0.424604,0.138371
Eddie Nketiah,Arsenal,24.000000,1082.000000,30000000.000000,MID,0.416667,0.380000,0.070000,0.104047,0.624281,0.114876
Elijah Adebayo,Luton Town,25.000000,1419.000000,12000000.000000,MID,0.632911,0.370000,0.040000,0.139987,2.099780,0.163244
Elliot Anderson,Newcastle United,20.000000,1027.000000,15000000.000000,MID,0.000000,0.130000,0.170000,0.021450,0.257402,0.024676
Enes Ünal,Bournemouth,26.000000,328.000000,18000000.000000,MID,0.555556,0.800000,0.280000,0.171608,1.716060,0.195260
Erling Haaland,Manchester City,23.000000,2552.000000,180000000.000000,ELITE,0.950704,1.030000,0.150000,0.246728,0.246728,0.246728
Ethan Nwaneri,Arsenal,16.000000,14.000000,8000000.000000,LOW,0.000000,0.000000,0.150000,0.011824,0.266041,0.014140
Ethan Wheatley,Manchester United,17.000000,16.000000,13000000.000000,MID,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Evan Ferguson,Brighton,18.000000,1367.000000,50000000.000000,MID,0.394737,0.300000,0.040000,0.092782,0.334013,0.099486
Fábio Silva,Wolverhampton,21.000000,264.000000,11000000.000000,MID,0.000000,0.350000,0.070000,0.027190,0.444917,0.031877
Fabio Vieira,Arsenal,23.000000,297.000000,22000000.000000,MID,0.303030,0.380000,0.490000,0.116701,0.954818,0.131210
Facundo Buonanotte,Brighton,18.000000,1364.000000,18000000.000000,MID,0.197368,0.160000,0.120000,0.054893,0.548923,0.062459
Facundo Pellistri,Manchester United,21.000000,172.000000,8000000.000000,LOW,0.000000,0.380000,0.050000,0.027471,0.618080,0.032852
Gabriel Jesus,Arsenal,26.000000,1478.000000,65000000.000000,ELITE,0.243902,0.390000,0.230000,0.086182,0.238656,0.091061
Gabriel Martinelli,Arsenal,22.000000,2019.000000,70000000.000000,ELITE,0.267857,0.310000,0.270000,0.088693,0.228067,0.093330
George Earthy,West Ham United,18.000000,34.000000,1000000.000000,LOW,2.500000,0.820000,0.000000,0.500774,90.123097,0.689003
Gio Reyna,Nottingham Forest,20.000000,235.000000,13000000.000000,MID,0.000000,0.110000,0.180000,0.021000,0.290770,0.024370
Hannibal Mejbri,Manchester United,20.000000,133.000000,13000000.000000,MID,0.666667,0.020000,0.250000,0.140946,1.951527,0.163558
