player,nation,pos,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,gls_90,ast_90,g+a_90,g-pk_90,g+a-pk_90,xg_90,xag_90,xg+xag_90,npxg_90,npxg+xag_90,club,season,player_clean,club_clean,goals_per90,xa_per90,ga_per90,pos_group,goals_norm,xg_norm,xag_norm,output_index_v0,annual_wage,transfer_fee,amortized_fee,cost_index_raw,cost_index_v2,value_index_v2,transfer_fee_corrected,market_value,cost_mv_raw,cost_mv,value_index_mv,cost_mv_log_raw,cost_mv_log,value_index_mv_log,age
Adama Traoré,es ESP,"FW,MF",17,1,377.0,4.2,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,1.5,1.5,0.7,2.2,29.0,16.0,48.0,0.48,0.72,1.19,0.48,1.19,0.36,0.17,0.53,0.36,0.53,Fulham,2023/24,adama traore,fulham,0.47619047619047616,0.7142857142857143,1.1904761904761905,ATT,0.1904761904,0.11145510832462689,0.0382882882796648,0.12140620824280807,3276000.0,0.0,1.0,3276000.0,0.17717882093382986,0.6852146457928119,5.0,9000000.0,9000000.0,0.05,2.4280756033440944,16.012735246411598,0.8424001207709244,0.1441192387442493,27.0
Albert Sambi Lokonga,be BEL,MF,17,16,1303.0,14.5,1.0,3.0,4.0,1.0,0.0,0.0,4.0,0.0,0.6,0.6,1.4,2.0,29.0,72.0,13.0,0.07,0.21,0.28,0.07,0.28,0.04,0.1,0.14,0.04,0.14,Luton Town,2023/24,albert sambi lokonga,luton town,0.06896551724137931,0.20689655172413793,0.27586206896551724,MID,0.02758620688551724,0.012383900924958545,0.02252252251744988,0.02277345616458193,2756000.0,0.0,1.0,2756000.0,0.14850910880861468,0.15334616846810162,5.0,15000000.0,15000000.0,0.08333333333333333,0.27327819463664754,16.52356082573315,0.8692737012736549,0.026198227247628887,23.0
Alejandro Garnacho,ar ARG,FW,36,30,2565.0,28.5,7.0,4.0,11.0,7.0,0.0,0.0,4.0,0.0,8.4,8.3,5.1,13.4,178.0,62.0,281.0,0.25,0.14,0.39,0.25,0.39,0.29,0.18,0.47,0.29,0.47,Manchester United,2023/24,alejandro garnacho,manchester united,0.24561403508771928,0.14035087719298245,0.38596491228070173,ATT,0.09824561399578946,0.08978328170594944,0.040540540531409784,0.07635637182528857,2756000.0,0.0,1.0,2756000.0,0.14850910880861468,0.5141493224793822,5.0,45000000.0,45000000.0,0.25,0.30542426560409186,17.622173069956816,0.9270696413783805,0.08236305672646577,19.0
Alejo Véliz,ar ARG,FW,8,0,50.0,0.6,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,3.0,1.8,0.0,1.8,1.8,1.8,0.45,0.0,0.45,0.45,0.45,Tottenham Hotspur,2023/24,alejo veliz,tottenham hotspur,1.6666666666666667,0.0,1.6666666666666667,ATT,0.6666666664,0.13931888540578363,0.0,0.32786377696115676,1716000.0,0.0,1.0,1716000.0,0.0911696845581843,3.5961535064696926,5.0,9000000.0,9000000.0,0.05,6.557144396335208,16.012735246411598,0.8424001207709244,0.38920149662326164,19.0
Aleksandar Mitrović,rs SRB,FW,1,0,33.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.44,0.44,0.44,Fulham,2023/24,aleksandar mitrovic,fulham,0.0,0.0,0.0,ATT,0.0,0.136222910174544,0.0,0.0272445820349088,2600000.0,0.0,1.0,2600000.0,0.13990819517105013,0.19473046072204284,5.0,28000000.0,28000000.0,0.15555555555555556,0.1751426157361697,17.147715103853763,0.9021092931433401,0.030200943545358478,28.0
Alex Iwobi,ng NGA,MF,2,2,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,6.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.21,0.14,0.35,0.21,0.35,Everton,2023/24,alex iwobi,everton,0.0,0.0,0.0,MID,0.0,0.06501547985603236,0.031531531524429834,0.024039132004756915,2600000.0,0.0,1.0,2600000.0,0.13990819517105013,0.17181952891207158,5.0,25000000.0,25000000.0,0.1388888888888889,0.17308050425461916,17.034386422832473,0.8961472827116408,0.026824949027428015,27.0
Alex Iwobi,ng NGA,MF,2,2,140.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.5,6.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.21,0.14,0.35,0.21,0.35,Everton,2023/24,alex iwobi,everton,0.0,0.0,0.0,MID,0.0,0.06501547985603236,0.031531531524429834,0.024039132004756915,2600000.0,0.0,1.0,2600000.0,0.13990819517105013,0.17181952891207158,5.0,25000000.0,25000000.0,0.1388888888888889,0.17308050425461916,17.034386422832473,0.8961472827116408,0.026824949027428015,27.0
Alex Iwobi,ng NGA,"FW,MF",30,25,2192.0,24.4,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,5.3,5.3,4.7,10.0,109.0,147.0,175.0,0.21,0.08,0.29,0.21,0.29,0.22,0.19,0.41,0.22,0.41,Fulham,2023/24,alex iwobi,fulham,0.20491803278688525,0.0819672131147541,0.2868852459016394,ATT,0.08196721308196721,0.068111455087272,0.04279279278315477,0.06548501437844381,4316000.0,0.0,1.0,4316000.0,0.23451824518426023,0.2792308764553317,5.0,25000000.0,25000000.0,0.1388888888888889,0.471488708806092,17.034386422832473,0.8961472827116408,0.07307386025479372,27.0
Alex Iwobi,ng NGA,"FW,MF",30,25,2192.0,24.4,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,5.3,5.3,4.7,10.0,109.0,147.0,175.0,0.21,0.08,0.29,0.21,0.29,0.22,0.19,0.41,0.22,0.41,Fulham,2023/24,alex iwobi,fulham,0.20491803278688525,0.0819672131147541,0.2868852459016394,ATT,0.08196721308196721,0.068111455087272,0.04279279278315477,0.06548501437844381,4316000.0,0.0,1.0,4316000.0,0.23451824518426023,0.2792308764553317,5.0,25000000.0,25000000.0,0.1388888888888889,0.471488708806092,17.034386422832473,0.8961472827116408,0.07307386025479372,27.0
Alex Matos,eng ENG,MF,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chelsea,2023/24,alex matos,chelsea,0.0,,,MID,0.0,0.0,0.0,0.0,2600000.0,0.0,1.0,2600000.0,0.13990819517105013,0.0,5.0,1200000.0,1200000.0,0.006666666666666667,0.0,13.997832948091215,0.7363998707619777,0.0,18.0
